firstName;lastName;email;password;admin;photo
Alessio;Faieta;alessio.faieta@studenti.unitn.it;password;false;
Gentiana;Berisha;gentiana.berisha@studenti.unitn.it;password;false;gentiana.png
Simone;Degiacomi;simone.degiacomi@studenti.unitn.it;password;false;simone.png
Slava;Rublev;slavarublev@gmail.com;password;false;slava.png
Mario;Rossi;mario@rossi.it;password;false;
Mario;Blue;mario@blue.it;password;false;
Pinco;Pallino;pinco@pallino.it;password;false;
Alessio Admin;Faieta;alessio@shopping.com;password;true;admin.png
Gentiana Admin;Berisha;gentiana@shopping.com;password;true;admin.png
Simone Admin;Degiacomi;simone@shopping.com;password;true;admin.png
Slava Admin;Rublev;slava@shopping.com;password;true;admin.png
Admin;Master;admin@shopping.com;password;true;admin.png
